feature,importance
TotalSF_OverallQual,0.7866226275855294
YearBuilt_YearRemodAdd,0.022813558060688695
TotalSF_OverallCond,0.01657493873128429
GarageArea_GarageCars,0.014535201441687243
TotalBathrooms,0.014111110469448029
BsmtFinSF1,0.012526089486693686
LotArea,0.010903327924663803
OpenPorchSF,0.00910812299899383
Condition1_Norm,0.007636053144714761
Neighborhood_Blueste,0.007030506596899425
